clicks,time_spent,searches,bookmarks,category
51,26,23,88,History
92,48,98,93,Agriculture
14,76,59,74,Art_and_Culture
71,32,44,6,Finance
60,97,97,94,Art_and_Culture
20,98,2,73,Art_and_Culture
82,0,36,38,Agriculture
86,20,42,12,Agriculture
74,54,39,30,Finance
74,5,89,70,Architecture
87,91,54,62,Agriculture
99,80,86,55,Agriculture
23,68,38,41,Research_and_Development
2,94,14,60,Art_and_Culture
21,4,3,41,Handlooms
52,2,92,55,Architecture
1,52,85,35,Architecture
87,22,24,83,Agriculture
29,52,12,67,Space
37,36,81,6,Architecture
1,73,32,53,Research_and_Development
63,73,15,0,Finance
59,82,41,43,Art_and_Culture
20,16,65,44,Science_and_Technology
32,84,54,46,Art_and_Culture
75,77,98,12,Art_and_Culture
57,72,41,21,Research_and_Development
21,0,33,20,Forestry
88,50,29,85,Agriculture
48,44,12,91,History
90,76,12,8,Agriculture
58,3,17,25,Defence
41,61,31,8,Research_and_Development
91,64,95,14,Agriculture
59,31,98,9,Architecture
79,33,38,87,Agriculture
14,91,45,41,Art_and_Culture
61,94,28,71,Art_and_Culture
61,71,61,23,Finance
46,38,92,79,Architecture
61,25,61,48,Finance
50,33,56,25,Defence
54,53,15,90,History
63,2,55,36,Finance
2,49,9,67,Space
50,11,29,49,Defence
6,64,24,23,Research_and_Development
20,53,83,18,Architecture
72,4,4,99,History
38,93,64,59,Art_and_Culture
17,93,93,38,Art_and_Culture
3,56,48,73,Space
88,16,2,88,Agriculture
59,46,44,17,Defence
13,22,13,18,Handlooms
8,78,29,35,Art_and_Culture
89,84,67,73,Agriculture
52,13,17,96,History
1,65,61,54,Research_and_Development
83,74,36,68,Agriculture
91,50,24,46,Agriculture
59,37,47,48,Defence
70,63,64,98,History
43,97,52,97,Art_and_Culture
7,37,78,32,Architecture
46,49,72,20,Science_and_Technology
34,97,14,80,Art_and_Culture
77,81,48,21,Agriculture
80,29,87,47,Agriculture
35,78,67,36,Art_and_Culture
49,90,11,14,Art_and_Culture
3,50,58,34,Education
1,62,36,91,History
5,97,60,70,Art_and_Culture
53,51,42,31,Defence
3,37,69,10,Science_and_Technology
53,96,38,9,Art_and_Culture
92,87,55,72,Agriculture
62,78,62,77,Art_and_Culture
17,29,45,76,History
89,50,87,56,Agriculture
43,80,10,24,Art_and_Culture
33,4,61,1,Science_and_Technology
73,28,76,63,Architecture
61,3,97,34,Architecture
99,9,24,6,Agriculture
13,55,70,84,History
94,16,51,17,Agriculture
47,73,3,66,Research_and_Development
14,16,58,41,Medicine
71,83,71,38,Art_and_Culture
77,87,19,40,Agriculture
86,68,92,74,Agriculture
61,33,62,23,Finance
39,5,53,59,Medicine
84,52,73,45,Agriculture
79,65,97,18,Agriculture
81,76,56,67,Agriculture
52,42,89,89,Architecture
23,74,40,41,Research_and_Development
25,22,2,31,Handlooms
88,54,5,38,Agriculture
59,79,4,35,Art_and_Culture
40,94,4,96,Art_and_Culture
28,74,53,35,Research_and_Development
14,15,46,2,Medicine
44,7,86,72,Architecture
64,3,48,7,Finance
88,3,8,96,Agriculture
70,55,98,69,Architecture
8,24,19,40,Handlooms
87,66,60,67,Agriculture
0,95,34,12,Art_and_Culture
7,66,49,48,Research_and_Development
87,26,81,59,Agriculture
62,92,61,1,Art_and_Culture
10,31,16,59,Tourism
80,49,87,4,Agriculture
7,60,2,43,Education
34,50,31,26,Education
34,18,98,31,Architecture
32,20,12,20,Transport
4,4,88,7,Architecture
40,81,72,71,Art_and_Culture
27,91,67,49,Art_and_Culture
6,41,13,66,Space
72,60,97,43,Architecture
71,21,10,57,Finance
11,20,55,2,Medicine
33,69,66,85,History
32,0,91,69,Architecture
47,4,28,1,Defence
22,11,8,86,History
61,89,66,43,Art_and_Culture
87,45,24,1,Agriculture
36,33,97,80,Architecture
98,48,75,34,Agriculture
43,77,41,97,Art_and_Culture
85,89,8,86,Agriculture
90,44,78,29,Agriculture
34,26,39,7,Transport
64,72,24,21,Finance
98,25,4,43,Agriculture
46,46,10,57,Defence
77,85,58,35,Agriculture
2,55,97,68,Architecture
0,93,87,76,Art_and_Culture
4,62,78,92,Architecture
89,47,37,30,Agriculture
13,60,71,46,Science_and_Technology
26,80,4,54,Art_and_Culture
8,25,47,79,History
78,35,89,61,Agriculture
14,0,17,29,Handlooms
89,7,69,54,Agriculture
41,98,36,15,Art_and_Culture
76,51,59,11,Agriculture
50,78,47,16,Art_and_Culture
62,46,76,15,Architecture
95,55,27,11,Agriculture
51,85,68,7,Art_and_Culture
95,13,76,83,Agriculture
3,89,80,2,Art_and_Culture
93,27,39,15,Agriculture
22,86,44,29,Art_and_Culture
14,77,95,22,Art_and_Culture
42,87,61,91,Art_and_Culture
28,1,92,4,Architecture
35,25,57,83,History
12,13,66,64,Science_and_Technology
31,58,55,29,Education
70,55,39,20,Finance
58,6,97,83,Architecture
85,2,39,69,Agriculture
27,22,90,21,Architecture
65,17,76,81,Architecture
41,37,32,71,Space
44,98,5,31,Art_and_Culture
61,14,87,32,Architecture
56,63,18,15,Research_and_Development
5,88,79,75,Art_and_Culture
27,27,39,37,Forestry
27,73,91,97,Architecture
43,38,96,13,Architecture
83,56,58,35,Agriculture
29,16,58,96,History
61,85,47,22,Art_and_Culture
74,89,40,65,Art_and_Culture
91,43,12,84,Agriculture
88,24,44,1,Agriculture
61,16,88,90,Architecture
96,12,52,72,Agriculture
0,83,41,64,Art_and_Culture
26,24,99,74,Architecture
61,67,62,66,Finance
76,9,26,51,Agriculture
2,66,37,61,Research_and_Development
69,17,59,22,Finance
71,99,6,25,Art_and_Culture
26,85,4,67,Art_and_Culture
8,33,44,81,History
61,7,57,54,Finance
36,39,30,5,Transport
96,82,22,34,Agriculture
50,41,41,21,Defence
43,40,9,42,Transport
23,5,31,14,Forestry
78,51,52,85,Agriculture
58,25,29,59,Defence
31,63,38,11,Research_and_Development
95,97,30,48,Agriculture
87,58,81,41,Agriculture
51,55,99,37,Architecture
61,58,1,81,History
57,69,77,44,Architecture
51,32,76,34,Architecture
11,52,92,29,Architecture
38,21,11,87,History
1,20,38,29,Forestry
2,69,65,77,History
55,69,95,5,Architecture
80,3,12,66,Agriculture
58,93,45,79,Art_and_Culture
1,74,26,6,Research_and_Development
1,61,16,51,Research_and_Development
91,61,94,13,Agriculture
53,93,97,72,Art_and_Culture
86,94,59,14,Agriculture
95,23,63,20,Agriculture
96,54,87,34,Agriculture
0,8,34,65,Space
18,2,69,90,History
1,30,82,1,Architecture
52,39,29,34,Defence
43,35,70,81,History
89,23,73,77,Agriculture
31,94,95,19,Art_and_Culture
69,5,97,81,Architecture
31,65,62,9,Research_and_Development
67,83,27,24,Art_and_Culture
54,91,59,65,Art_and_Culture
74,74,78,24,Architecture
55,3,93,53,Architecture
16,78,36,32,Art_and_Culture
37,5,92,35,Architecture
23,93,21,94,Art_and_Culture
68,50,67,13,Finance
97,61,19,64,Agriculture
69,56,95,79,Architecture
85,65,99,53,Agriculture
10,78,67,51,Art_and_Culture
15,74,90,2,Architecture
96,7,63,98,Agriculture
72,25,16,40,Finance
58,50,11,5,Defence
69,44,21,24,Finance
79,43,16,12,Agriculture
92,4,9,97,Agriculture
2,69,64,7,Research_and_Development
19,25,21,20,Handlooms
58,67,89,97,Architecture
35,18,81,67,Architecture
18,83,49,24,Art_and_Culture
89,96,13,78,Agriculture
66,19,63,67,Finance
18,11,46,44,Medicine
19,46,28,59,Education
95,0,75,11,Agriculture
70,89,35,31,Art_and_Culture
51,13,98,95,Architecture
32,63,51,91,History
39,37,75,12,Science_and_Technology
38,36,6,30,Transport
81,10,28,77,Agriculture
0,99,10,19,Art_and_Culture
10,76,32,17,Art_and_Culture
91,2,5,92,Agriculture
56,32,78,59,Architecture
88,5,31,62,Agriculture
49,49,50,5,Defence
22,9,74,31,Science_and_Technology
30,4,57,92,History
93,22,86,42,Agriculture
41,9,25,1,Transport
98,43,97,59,Agriculture
6,1,45,22,Forestry
15,12,97,82,Architecture
89,39,28,30,Agriculture
59,1,3,4,Defence
1,83,80,82,Art_and_Culture
0,64,98,33,Architecture
47,62,12,9,Research_and_Development
11,72,38,88,History
68,16,14,1,Finance
36,8,28,10,Transport
31,74,28,49,Research_and_Development
8,14,74,30,Science_and_Technology
98,23,31,55,Agriculture
18,37,1,78,History
47,34,46,72,Space
79,93,77,86,Agriculture
2,94,83,82,Art_and_Culture
19,48,21,8,Education
23,68,74,98,History
53,61,26,20,Research_and_Development
32,59,66,72,Science_and_Technology
23,49,80,27,Architecture
74,77,55,61,Art_and_Culture
71,74,91,6,Architecture
35,8,92,79,Architecture
37,33,20,15,Transport
83,75,46,96,Agriculture
98,98,79,3,Agriculture
88,34,58,3,Agriculture
98,0,83,39,Agriculture
24,39,5,16,Energy
92,63,18,51,Agriculture
17,21,56,92,History
81,59,68,51,Agriculture
65,63,2,35,Finance
53,92,0,37,Art_and_Culture
34,71,57,49,Research_and_Development
79,10,37,62,Agriculture
60,13,14,62,Space
40,59,33,61,Space
99,29,60,98,Agriculture
32,34,34,6,Transport
67,84,63,26,Art_and_Culture
32,36,24,91,History
13,4,23,85,History
20,82,11,13,Art_and_Culture
47,77,17,70,Art_and_Culture
19,25,14,85,History
7,61,79,4,Architecture
6,3,26,54,Tourism
66,88,71,1,Art_and_Culture
16,41,59,61,Space
32,88,45,90,Art_and_Culture
47,17,88,20,Architecture
75,39,16,78,History
58,71,92,20,Architecture
85,38,52,9,Agriculture
21,13,7,86,History
29,31,78,57,Architecture
37,50,26,38,Education
50,37,45,4,Defence
53,96,49,64,Art_and_Culture
7,22,70,12,Science_and_Technology
26,62,2,84,History
26,14,92,89,Architecture
97,96,63,84,Agriculture
20,24,43,52,Tourism
29,16,52,81,History
96,96,23,44,Agriculture
27,65,59,31,Research_and_Development
63,77,2,35,Art_and_Culture
96,52,19,80,Agriculture
68,50,45,98,History
60,38,14,59,Defence
47,50,24,10,Defence
18,69,93,62,Architecture
3,5,77,20,Architecture
34,66,70,51,Research_and_Development
63,6,16,54,Finance
48,50,83,25,Architecture
16,71,99,67,Architecture
43,41,8,33,Transport
91,63,37,51,Agriculture
29,14,47,81,History
92,28,59,98,Agriculture
45,32,62,92,History
5,93,85,51,Art_and_Culture
98,26,1,28,Agriculture
36,35,87,37,Architecture
23,28,71,41,Science_and_Technology
92,37,10,20,Agriculture
45,56,63,41,Science_and_Technology
52,96,76,12,Art_and_Culture
94,26,80,63,Agriculture
98,54,71,16,Agriculture
59,32,20,8,Defence
96,67,17,40,Agriculture
62,85,93,0,Art_and_Culture
84,65,63,1,Agriculture
31,9,81,59,Architecture
86,4,94,47,Agriculture
32,73,37,28,Research_and_Development
66,96,31,96,Art_and_Culture
17,37,10,9,Energy
24,12,44,57,Tourism
94,30,88,59,Agriculture
53,46,32,20,Defence
57,99,40,27,Art_and_Culture
66,87,7,74,Art_and_Culture
45,51,10,33,Education
23,55,85,7,Architecture
31,14,50,58,Medicine
46,28,87,85,Architecture
